2.257	6.717
3.673	7.092
4.806	7.119
5.485	7.280
5.938	7.441
6.788	7.629
6.901	7.736
7.241	7.763
7.845	7.933
9.728	8.393
11.319	8.857
13.292	9.266
15.405	9.757
17.247	10.158
19.046	10.610
20.835	11.038
23.101	11.567
24.913	12.026
26.458	12.485
27.858	12.834
28.673	13.129
30.351	13.558
32.616	14.222
34.761	14.844
36.241	15.461
37.795	15.923
39.413	16.467
40.789	17.065
42.624	17.678
44.397	18.362
45.971	18.965
48.103	19.646
50.288	20.437
51.923	21.062
53.686	21.736
54.897	22.448
56.508	22.965
58.145	23.670
60.120	24.504
61.628	25.237
63.213	25.790
64.788	26.540
66.224	27.147
67.663	27.758
69.014	28.467
70.679	29.242
