#Path, Setup Margin, Hold Margin
"Address Command (Fast 900mV 0C Model)",0.799,0.504
"DQS vs CK (Fast 900mV 0C Model)",0.355,0.492
"Half Rate Address/Command (Fast 900mV 0C Model)",2.846,0.867
"Phy (Fast 900mV 0C Model)",0.782,0.083
"Phy Reset (Fast 900mV 0C Model)",2.533,0.242
"Read Capture (Fast 900mV 0C Model)",0.182,0.242
"Read Resync (All Conditions)",0.526,0.555
"Write (Fast 900mV 0C Model)",0.154,0.161
